SPPO,2,8,,,,,
-1.41240166997906 - 1.40075540209860i,-3.58579390830820 - 6.18057805432459i,-5.75685364784495 - 6.03463345075780i,-4.74737318387067 - 5.18542336005643i,-4.77252672166226 - 4.55374368537028i,-3.45552704216563 - 4.07381210847255i,-2.59785835080136 - 3.96491129836752i,-0.776787459775419 - 0.894229569777887i
-1.41240166997906 + 1.40075540209860i,-3.58579390830820 + 6.18057805432459i,-5.75685364784495 + 6.03463345075780i,-4.74737318387067 + 5.18542336005643i,-4.77252672166226 + 4.55374368537028i,-3.45552704216563 + 4.07381210847255i,-2.59785835080136 + 3.96491129836752i,-0.776787459775419 + 0.894229569777887i
0.219477813,0.386100701,0.205944161,0.204464892,0.416459572,0.300800816,0.22259486,0.269297285
,,,,,,,
Phugoid,2,2,,,,,
-0.060913046796698 + 0.109192098136572i,-0.057998349586041 + 0.108154146419531i,,,,,,
-0.060913046796698 - 0.109192098136572i,-0.057998349586041 - 0.108154146419531i,,,,,,
1.14E+02,1.09E+02,,,,,,
Roll Subsidence ,1,3,,,,,
-0.74937128,-0.74937128,-0.001945003,,,,,
1.579844683,1.579844683,0.32551089,,,,,
Dutch Roll,2,4,,,,,
-2.873036504485043 + 5.207251063904243i,-1.726315282963302 + 2.895840005164092i,-1.796633861403531 + 3.004464474305498i,-1.493619098201564 + 2.834904429369993i,,,,
-2.873036504485043 - 5.207251063904243i,-1.726315282963302 - 2.895840005164092i,-1.796633861403531 - 3.004464474305498i,-1.493619098201564 - 2.834904429369993i,,,,
0.277083755,0.43792668,0.498081744,0.776820838,,,,
Spiral,1,3,,,,,
-0.087634744,-0.140652871,-0.029172605,,,,,
0.441046408,0.416137329,0.437221842,,,,,
